"member_id";"longitude";"latitude";"elevation";"time"
26;-3,790458;37,762116;563,058;2023-03-01 20:27:47
26;-3,79139;37,762124;569,66;2023-03-01 20:28:18
26;-3,791822;37,76213;571,854;2023-03-01 20:28:32
26;-3,792035;37,762139;573,261;2023-03-01 20:28:40
26;-3,792436;37,762138;575,475;2023-03-01 20:28:55
26;-3,792734;37,762132;577,483;2023-03-01 20:29:05
26;-3,792902;37,762134;578,648;2023-03-01 20:29:11
26;-3,793266;37,762132;581,069;2023-03-01 20:29:24
26;-3,793476;37,76211;582,207;2023-03-01 20:29:31
26;-3,793766;37,762128;584,097;2023-03-01 20:29:42
26;-3,793944;37,762135;585,855;2023-03-01 20:29:49
26;-3,794149;37,762145;587,098;2023-03-01 20:29:57
26;-3,794299;37,76213;588,045;2023-03-01 20:30:03
26;-3,794799;37,762125;591,408;2023-03-01 20:30:22
26;-3,794948;37,762143;592,655;2023-03-01 20:30:28
26;-3,795225;37,762407;596,023;2023-03-01 20:30:47
26;-3,795129;37,762556;596,066;2023-03-01 20:30:55
26;-3,795082;37,762742;596,229;2023-03-01 20:31:02
26;-3,794936;37,76296;595,608;2023-03-01 20:31:11
26;-3,794673;37,76302;595,288;2023-03-01 20:31:18
26;-3,794446;37,76304;595,43;2023-03-01 20:31:24
26;-3,794125;37,763012;595,241;2023-03-01 20:31:32
26;-3,793739;37,762971;594,452;2023-03-01 20:31:43
26;-3,793479;37,762959;593,891;2023-03-01 20:31:50
26;-3,79316;37,763;592,819;2023-03-01 20:31:59
26;-3,792962;37,763017;592,052;2023-03-01 20:32:05
26;-3,792384;37,763076;589,022;2023-03-01 20:32:22
26;-3,792208;37,763191;588,069;2023-03-01 20:32:28
26;-3,792016;37,763332;586,818;2023-03-01 20:32:35
26;-3,791859;37,763528;585,817;2023-03-01 20:32:43
26;-3,791753;37,763727;585,424;2023-03-01 20:32:50
26;-3,791625;37,763904;584,853;2023-03-01 20:32:57
26;-3,791477;37,76409;584,441;2023-03-01 20:33:06
26;-3,790625;37,764578;581,008;2023-03-01 20:33:34
26;-3,790668;37,764738;582,014;2023-03-01 20:33:42
26;-3,790745;37,764921;582,243;2023-03-01 20:33:51
26;-3,7908;37,765116;582,451;2023-03-01 20:33:57
26;-3,790582;37,765226;581,846;2023-03-01 20:34:02
26;-3,790361;37,765268;581,664;2023-03-01 20:34:08
