"categoria";"temps"
"CATEGORIA B M";"00:50:29"
"CATEGORIA C M";"00:50:29"
"CATEGORIA C M";"00:50:29"
"CATEGORIA C M";"00:50:36"
"CATEGORIA C M";"00:50:37"
"CATEGORIA C M";"00:50:41"
"CATEGORIA C M";"00:50:42"
"CATEGORIA B M";"00:50:43"
"CATEGORIA C M";"00:50:43"
"CATEGORIA C M";"00:50:45"
"CATEGORIA C M";"00:50:46"
"CATEGORIA C M";"00:50:48"
"CATEGORIA C F";"00:50:50"
"CATEGORIA C M";"00:50:50"
"CATEGORIA B M";"00:50:53"
"CATEGORIA C F";"00:50:54"
"CATEGORIA C M";"00:50:54"
"CATEGORIA C M";"00:50:55"
"CATEGORIA C F";"00:50:56"
"CATEGORIA C F";"00:50:57"
"CATEGORIA B M";"00:50:57"
"CATEGORIA C M";"00:51:00"
"CATEGORIA B M";"00:51:01"
"CATEGORIA C M";"00:51:02"
"CATEGORIA C F";"00:51:03"
"CATEGORIA C M";"00:51:03"
"CATEGORIA B M";"00:51:04"
"CATEGORIA C M";"00:51:04"
"CATEGORIA C M";"00:51:06"
"CATEGORIA C F";"00:51:11"
"CATEGORIA C M";"00:51:13"
"CATEGORIA C M";"00:51:14"
"CATEGORIA B M";"00:51:15"
"CATEGORIA C M";"00:51:15"
"CATEGORIA C M";"00:51:18"
"CATEGORIA C M";"00:51:22"
"CATEGORIA C M";"00:51:23"
"CATEGORIA C M";"00:51:25"
"CATEGORIA C M";"00:51:26"
"CATEGORIA C M";"00:51:26"
"CATEGORIA C M";"00:51:27"
"CATEGORIA C M";"00:51:27"
"CATEGORIA C M";"00:51:28"
"CATEGORIA C M";"00:51:29"
"CATEGORIA C M";"00:51:29"
"CATEGORIA C M";"00:51:29"
"CATEGORIA C M";"00:51:30"
"CATEGORIA C F";"00:51:31"
"CATEGORIA C M";"00:51:31"
"CATEGORIA C F";"00:51:32"
"CATEGORIA C M";"00:51:32"
"CATEGORIA C M";"00:51:33"
"CATEGORIA C M";"00:51:34"
"CATEGORIA C M";"00:51:35"
"CATEGORIA B M";"00:51:36"
"CATEGORIA C M";"00:51:36"
"CATEGORIA C M";"00:51:39"
"CATEGORIA C M";"00:51:39"
"CATEGORIA C M";"00:51:39"
"CATEGORIA C M";"00:51:39"
"CATEGORIA C M";"00:51:40"
"CATEGORIA C M";"00:51:43"
"CATEGORIA B M";"00:51:46"
"CATEGORIA C M";"00:51:48"
"CATEGORIA B M";"00:51:49"
"CATEGORIA C M";"00:51:50"
"CATEGORIA C M";"00:51:52"
"CATEGORIA C M";"00:51:56"
"CATEGORIA C F";"00:51:58"
"CATEGORIA C M";"00:51:59"
"CATEGORIA B M";"00:52:01"
"CATEGORIA C M";"00:52:02"
"CATEGORIA C M";"00:52:03"
"CATEGORIA C M";"00:52:03"
"CATEGORIA C M";"00:52:05"
"CATEGORIA B F";"00:52:07"
"CATEGORIA C M";"00:52:09"
"CATEGORIA C M";"00:52:10"
"CATEGORIA C F";"00:52:11"
"CATEGORIA C M";"00:52:13"
"CATEGORIA C M";"00:52:19"
"CATEGORIA C M";"00:52:19"
