"categoria";"temps"
"CATEGORIA B F";"01:39:39"
"CATEGORIA C F";"01:39:46"
"CATEGORIA C M";"01:39:47"
"CATEGORIA C M";"01:39:54"
"CATEGORIA B F";"01:39:57"
"CATEGORIA C F";"01:40:09"
"CATEGORIA C M";"01:40:11"
"CATEGORIA C F";"01:40:14"
"CATEGORIA C M";"01:40:17"
"CATEGORIA C F";"01:40:27"
"CATEGORIA C F";"01:40:38"
"CATEGORIA C M";"01:40:41"
"CATEGORIA C M";"01:40:51"
"CATEGORIA C F";"01:41:30"
"CATEGORIA C F";"01:41:35"
"CATEGORIA B F";"01:41:37"
"CATEGORIA B F";"01:41:48"
"CATEGORIA B F";"01:41:49"
"CATEGORIA C F";"01:41:58"
"CATEGORIA C M";"01:42:20"
"CATEGORIA B F";"01:42:25"
"CATEGORIA B F";"01:43:03"
"CATEGORIA C F";"01:43:07"
"CATEGORIA C F";"01:43:29"
"CATEGORIA B F";"01:43:34"
"CATEGORIA C F";"01:43:45"
"CATEGORIA C F";"01:43:49"
"CATEGORIA C M";"01:43:51"
"CATEGORIA B F";"01:44:05"
"CATEGORIA C M";"01:44:16"
"CATEGORIA B M";"01:44:28"
"CATEGORIA B F";"01:44:49"
"CATEGORIA C F";"01:44:56"
"CATEGORIA C F";"01:45:09"
"CATEGORIA C F";"01:45:26"
"CATEGORIA B M";"01:45:32"
"CATEGORIA C M";"01:45:32"
"CATEGORIA C F";"01:45:50"
"CATEGORIA C M";"01:46:02"
"CATEGORIA C F";"01:46:03"
"CATEGORIA B F";"01:46:19"
"CATEGORIA C F";"01:46:31"
"CATEGORIA B M";"01:46:52"
"CATEGORIA B F";"01:46:57"
"CATEGORIA C M";"01:46:59"
"CATEGORIA C M";"01:47:03"
"CATEGORIA C M";"01:47:07"
"CATEGORIA B F";"01:47:08"
"CATEGORIA B F";"01:47:11"
"CATEGORIA C F";"01:47:15"
"CATEGORIA C F";"01:47:17"
"CATEGORIA C F";"01:47:24"
"CATEGORIA C F";"01:47:48"
"CATEGORIA C F";"01:48:16"
"CATEGORIA C M";"01:48:16"
"CATEGORIA B M";"01:48:23"
"CATEGORIA B F";"01:48:28"
"CATEGORIA C M";"01:48:55"
"CATEGORIA C F";"01:48:58"
"CATEGORIA C M";"01:49:41"
"CATEGORIA C M";"01:49:49"
"CATEGORIA C F";"01:50:02"
"CATEGORIA C F";"01:50:14"
"CATEGORIA A F";"01:50:34"
"CATEGORIA A F";"01:50:54"
"CATEGORIA C F";"01:51:00"
"CATEGORIA B F";"01:51:22"
"CATEGORIA C F";"01:52:02"
"CATEGORIA B M";"01:52:04"
"CATEGORIA C F";"01:52:06"
"CATEGORIA B F";"01:52:15"
"CATEGORIA C M";"01:52:16"
"CATEGORIA C M";"01:52:31"
"CATEGORIA C M";"01:52:44"
"CATEGORIA C M";"01:53:16"
"CATEGORIA C M";"01:53:59"
"CATEGORIA C F";"01:55:14"
"CATEGORIA B M";"01:55:47"
"CATEGORIA A F";"01:56:00"
"CATEGORIA C F";"01:56:18"
"CATEGORIA B F";"01:56:19"
"CATEGORIA C M";"01:56:28"
"CATEGORIA C F";"01:56:36"
"CATEGORIA C F";"01:56:57"
"CATEGORIA C M";"01:57:21"
"CATEGORIA C F";"01:57:30"
"CATEGORIA C M";"01:58:08"
"CATEGORIA C M";"01:58:09"
"CATEGORIA C F";"01:58:50"
"CATEGORIA B M";"01:58:51"
"CATEGORIA C F";"01:58:54"
"CATEGORIA C F";"01:59:13"
"CATEGORIA B M";"01:59:53"
"CATEGORIA B M";"02:00:54"
"CATEGORIA B F";"02:01:26"
"CATEGORIA B F";"02:01:32"
"CATEGORIA C F";"02:02:18"
"CATEGORIA C M";"02:02:20"
"CATEGORIA C F";"02:02:35"
"CATEGORIA C F";"02:02:57"
"CATEGORIA C F";"02:03:08"
"CATEGORIA C M";"02:04:35"
"CATEGORIA C M";"02:04:43"
"CATEGORIA C F";"02:05:01"
"CATEGORIA C F";"02:05:42"
"CATEGORIA A M";"02:05:49"
"CATEGORIA C F";"02:06:51"
"CATEGORIA C F";"02:06:55"
"CATEGORIA C M";"02:07:08"
"CATEGORIA C F";"02:09:35"
"CATEGORIA C F";"02:09:38"
"CATEGORIA B F";"02:17:27"
"CATEGORIA C F";"02:17:38"
"CATEGORIA B F";"02:17:42"
"CATEGORIA B M";"02:17:45"
"CATEGORIA C M";"02:19:15"
"CATEGORIA A F";"02:21:38"
"CATEGORIA A M";"02:22:22"
"CATEGORIA C M";"02:23:03"
"CATEGORIA C M";"02:25:17"
"CATEGORIA B M";"02:36:54"
"CATEGORIA B F";"02:47:33"
"CATEGORIA B F";"02:49:10"
"CATEGORIA C M";"03:30:59"
"CATEGORIA C F";"03:34:46"
"CATEGORIA C F";"03:51:17"
